,full_text,user_location,friends_count,followers_count,reply_count,retweet_count,favorite_count,created_date,manual_positivity,index
750,"Republicans are touting this video trying to help promote @realDonaldTrump in his promotion of #Hydroxychloroquine but this African doctor they brought to help him out is a quack and fraudster.....
https://t.co/8AEZh4shbI","Tampa, Fl.",1268,572,0,0,0,2020-07-28,neu,13797
751,US-Based Nigeria-Trained Doctor Insists Hydroxychloroquine Cures COVID-19 https://t.co/WlPQwc6KG2,,18,18,0,0,1,2020-07-28,pos,13798
752,".#Fauci gets more approval, @realDonaldTrump whines why he isn’t more popular. 

#Fauci throws out the #OpeningDay pitch, Trump runs away. 

#bolsanaro pitches #Hydroxychloroquine , Trump follows suit. 

This is how easily Trump can be played. This is how he’s a #RussianAsset","Tampa, Fl.",812,333,0,0,0,2020-07-28,neu,13799
753,"Trump gets asked about the #DemonSperm doctor he retweeted last night because she supports #Hydroxychloroquine, and he turns and flees. #awkward
#TrumpNewsConference #WhiteHouseBriefing","Washington, DC",3483,1432,0,0,0,2020-07-28,neu,13800
754,FDA cautions against use of hydroxychloroquine or chloroquine for COVID-19 outside of the hospital setting or a clinical trial due to risk of heart rhythm problems https://t.co/flE4VT5c07,Chicagoland,677,2234,0,0,0,2020-07-28,neg,13801
755,@LibertyCentral @thedonalddotwin @purepurpleme59 Studies are only as good as the doctors who use them. Doctors are not using Hydroxychloroquine.,"Lake Charles, LA",4988,3080,1,0,0,2020-07-28,neg,13802
756,@RadioFreeTom How's about we inject Trump with #COVID19 &amp; give him all the #Hydroxychloroquine his demon #HeartLessSoul wants #TrumpIsACrybaby #TrumpVirusCatastrophe #TrumpVirus #TrumpVirusKills150K #VoteBlueToEndThisNightmare #BidenHarris2020 #Biden2020Landslide,Sacramento California,728,242,0,0,0,2020-07-28,neg,13803
757,"Trump now praising hydroxychloroquine, again. Along with the #demonsperm doc, again.","Nashville, TN",1360,1685,1,3,2,2020-07-28,neu,13804
758,What's the tell that Trump is lying about the hydroxychloroquine he said he read about it,"hotashell, Az",685,141,0,0,0,2020-07-28,neg,13805
759,Trump and a group of fake doctors again pushing fake cure hydroxychloroquine for the coronavirus. This guy should catch the virus.,"Weeki Wachee, FL",1242,558,0,0,2,2020-07-28,neg,13806
760,Hydroxychloroquine brought my dad back into my life.,Louisiana,513,343,0,0,0,2020-07-28,pos,13807
761,"If your loved one is Diagnosed with China Virus Demand they are Treated with Hydroxychloroquine or threaten a Lawsuit against the Hospital. 
🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸",No Mask Area/Free America,36282,36597,12,247,338,2020-07-28,neu,13808
762,BREAKING: Donald Trump Jr. Suspended From Twitter Over Video Promoting Hydroxychloroquine - https://t.co/dc79iqAdUi,"Nevada, USA",10296,9485,0,3,0,2020-07-28,neg,13809
763,"Wake up, check Facebook... hydroxychloroquine truther post... antifa rant... anti-maskers... people falling for anti-protest FBI psyops... I hope the gym isn’t crowded today.","Des Moines, IA",392,603,2,1,6,2020-07-28,neu,13810
764,Donald Trump Jr. Suspended from Twitter For Sharing Video on Hydroxychloroquine https://t.co/CAfZm5y5Tf,"California, USA",279,176,0,1,0,2020-07-28,neg,13811
765,You heard the doctor share about the success she’s having treating patients with hydroxychloroquine. Now hear from her on a spiritual side as she’s also a Christian. 🔥 https://t.co/tuoqB3WeK8 https://t.co/keVp8U1tnR,"Tampa, FL",1955,722,0,0,0,2020-07-28,pos,13812
766,@realDonaldTrump #Hydroxychloroquine #HCQ #HYDROXYCHLOROQUINEWORKS PLEASE sign an executive order to MANDATE states make it available for Doctors to prescribe. It is CRIMINAL to restrict it. It saves lives!,New York,423,174,1,0,2,2020-07-28,pos,13813
767,"@realDonaldTrump @KristaSmith74 Need an EO for #Hydroxychloroquine 
#HCQworks",,663,333,0,0,1,2020-07-28,pos,13814
768,@ssumer929 Exactly! Studies have been done by multiple countries and they all found that #Hydroxychloroquine is ineffective &amp; dangerous! Plus that woman doctor is a total nut job! This whole video is a joke! Not one reputable health organization or hospital will in the world backs the drug,The Village,1284,2167,2,0,1,2020-07-28,neg,13815
769,"Hydroxychloroquine 

There... no more C19 can we go back to normal now ?",626,1526,828,0,0,1,2020-07-28,pos,13816
770,@jonEngineer4MSU @WLBT Exactly - which experts get the air time? Those continuing to spread fear and misinformation or those giving the complete story? Why are doctors and pharmacists prevented and /or blocking prescriptions of hydroxychloroquine?,"Ross Barnett Reservoir, MS",169,6,0,0,1,2020-07-28,neu,13817
771,#covidiot: Twitter partially suspends Don Trump Jr. for sharing hydroxychloroquine video https://t.co/6Ds3EtoczO,#RemoteWork #Boston,272431,291982,0,3,7,2020-07-28,neg,13818
772,So a random pediatrician starts yelling about Hydroxychloroquine and that's it the cure is confirmed? The secret is out? I hate everything.,MIA,271,638,0,0,0,2020-07-28,neu,13819
773,he’s not taking hydroxychloroquine?                 Shocking. #TrumpCovid #TrumpHasCovid #DonaldTrump #COVID19 #CovidCaughtTrump,CA/MO/TN/NC,452,100,0,0,2,2020-10-02,neg,107198
774,"Mr @realDonaldTrump start NOW your early treatment with Hydroxychloroquine and Azithromycin, just like Bolsonaro did. In a few days you'll be 100% ready and back on the field!","Natal, Brasil",633,630,0,0,0,2020-10-02,pos,107199
775,"I just pray they don't intubate 
because he won't be able to get over that.  All that Hydroxychloroquine.I hope he was using Zinc",,888,497,0,0,0,2020-10-02,neg,107200
776,@GeorgeTakei I am only wondering why Trump took #Hydroxychloroquine  when he didn't have #COVID19 and being rushed to hospital now that he has it.,,321,77,0,0,0,2020-10-02,neu,107201
777,@realDonaldTrump @FLOTUS But I thought you were taking hydroxychloroquine to prevent this.....   Are you telling me you were lying to the American people the whole time?!?!?!,,37,2,0,0,0,2020-10-02,neg,107202
778,"@PressSec @realDonaldTrump @FLOTUS @EricTrump @LaraLeaTrump @DonaldJTrumpJr  @IvankaTrump Why isn’t President Trump given Hydroxychloroquine? I don’t get why his Doctor hasn’t prescribed it yet! It can’t hurt him so why hasn’t his Dr prescribed it, makes no sense whatsoever.",,266,514,0,0,0,2020-10-02,neu,107203
779,"Grand total of 275 ppl were tested. Two came down with serious side effects. We don't know what those were. Look, Trump heard abt this on TV this morning. Like hydroxychloroquine. True.",,7036,6967,0,0,1,2020-10-02,pos,107204
780,I guess all the Hydroxychloroquine Trump says he was taking didn't work. I guess the stock can plummet now.,"Maryland, USA",9797,14492,3,14,36,2020-10-02,neg,107205
781,@Acosta Did anyone hear if he started hydroxychloroquine?,USA,1042,177,0,0,0,2020-10-02,neu,107206
782,@matt_pyskaty I was thinking about the Hydroxychloroquine,"New York, USA",352,53,0,0,0,2020-10-02,neg,107207
783,"So, I have to ask: did he stop taking hydroxychloroquine as a prophylactic? Or can we finally admit it doesn't work that way?",,24,9,1,0,0,2020-10-02,neg,107208
784,@tonyposnanski He butt chugged one too many gallons of hydroxychloroquine,,1457,30,0,0,0,2020-10-02,neg,107209
785,Hopefully they got him the hydroxychloroquine he so desperately needs,,369,175,0,0,1,2020-10-02,neg,107210
786,"Yooo, why didn't anyone tell @realDonaldTrump to take Hydroxychloroquine, could've prevented him from getting COVID",,13,8,0,0,1,2020-10-02,neg,107211
787,"@CNNPolitics Give him that hydroxychloroquine, let him show it works.",,60,39,0,0,0,2020-10-02,neg,107212
788,@PressSec @realDonaldTrump Time for you to be the guinea pig for the hydroxychloroquine you've been touting! What goes around comes. At least now we don't have to worry about you being around for the upcoming election. God bless America. It has finally taken a turn for the better on becoming great again!,,35,13,0,0,0,2020-10-02,neg,107213
789,@deAdder Please do one on Bleach treatment and Hydroxychloroquine :),,190,14,0,0,0,2020-10-02,neg,107214
790,Confused why Trump doesn’t just take some hydroxychloroquine,"New York, NY",1585,429,0,0,4,2020-10-02,neg,107215
791,@johncusack @svdate Im confused didn’t he take Hydroxychloroquine Zinc and Z pack as a preventive? How did he get COVID?? Wow 🤯,"Miami, FL",1122,51,0,0,0,2020-10-02,neg,107216
792,"@eugenegu @thekjohnston He should only be treated with Hydroxychloroquine, sunlight and bleach.",,162,10,0,0,0,2020-10-02,neg,107217
793,@utopianindigent @PressSec @realDonaldTrump the nurses wheeling trumps body to the morgue after he ingested hydroxychloroquine and a bleach cocktail https://t.co/cGv6ecWQQO,,94,41,1,0,0,2020-10-02,neg,107218
794,"@Notmyblackdaug1 @willishl @eugenegu Only controlled studies could determine if hydroxychloroquine were a cause of successful treatment, and those studies that have been done do not show this 🤷","Oregon, USA",1367,1378,1,0,3,2020-10-02,neg,107219
795,"@PresidentPat If he’s not sick and magically recovers, maybe it’s related to being a shill for hydroxychloroquine.

However, despite a medical unit in the White House and a reportedly “mild” fever, he’s been taken by helicopter to Walter Reed Medical Center. Actually sick and downplaying it?",Florida,1876,1585,0,0,0,2020-10-02,neg,107220
796,@TheRealHoarse Why is be not taking hydroxychloroquine? Do you think his supporters will notice?,"Minneapolis, MN",763,32,1,0,0,2020-10-02,neu,107221
797,"SIMPLE LOGIC: 
Democrats believe hydroxychloroquine is a dangerous and potentially deadly medication + Democrats want Republicans to die = Democrats should make sure that the hydroxychlorquine is available to every Republican.
@ScottAdamsSays",not in a covid camp yet,252,115,0,1,1,2020-10-02,neg,107222
798,"@chizmund I highly doubt he's terrified. he will get the best medical care in the land. and if hydroxychloroquine is as good as he says it is, he will be fine.",Phoenix AZ,44,8,0,0,0,2020-10-02,neu,107223
799,When tweets haunt you: Trump tweeted that hydroxychloroquine &amp; azithromycin should be taken together to fight the Coronavirus &amp; wanted the FDA to release the meds.,Mississippi,281,1059,0,0,0,2020-10-02,neg,107224
800,@realwillmeade @Regeneron Why not Hydroxychloroquine?,"Los Angeles, CA",415,121,0,0,4,2020-10-02,neu,107225
801,"@MajorPatriot @shhhhhh_o SIMPLE LOGIC: 
Democrats believe hydroxychloroquine is a dangerous and potentially deadly medication + Democrats want Republicans to die = Democrats should make sure that the hydroxychlorquine is available to every Republican.",not in a covid camp yet,252,115,0,0,0,2020-10-02,neg,107226
802,@FarhaddSyed @BrianT2112 @vankapro @Jay_USMC2 @PMatote @veterans_i @JBLNT1 @jim1036 @mrspriest85 @Jerrygence @grupp_arthur @DavidTexBrandon @ThenaEliot @cms36 @MtnMD @GettingFitLife @Costavjw @Apos222 @joe_kidder2 @CorbieCrow @REBARJOHN @William15199186 @GHOSTMONKEY99 @machonejack @joelytrumpshate @Mjcrjdrvrsoonrf @JulietMariaPal3 @AppalledGary @femmesthetics Damn Hydroxychloroquine faiked him... I'm torn between sympathy and telling him off....he asked for it.,"Brownsville, TX",639,605,1,1,4,2020-10-02,neg,107227
803,"You do not deserve an experimental antibody cocktail from actual scientists. You deserve hydroxychloroquine, the GRINDINGLY LITERAL TASTE OF YOUR OWN MEDICINE.",New York,2064,19250,6,28,240,2020-10-02,neg,107228
804,@PressSec @realDonaldTrump Didn't the Hydroxychloroquine and Lysol combo with swallowing a UV lamp do that trick?,United Kingdom,124,128,0,0,1,2020-10-02,neg,107229
805,"@TheRealHoarse He is lying. He will miraculously recover with #Hydroxychloroquine 🙄and rally the nation as he overcomes this illness😂😂😂please, it will just go away miraculously😂😂😂 https://t.co/r9YWFdGjQv","Nevada, USA",939,92,0,0,0,2020-10-02,neg,107230
806,"Walter Reed? Why doesn’t he just take some hydroxychloroquine and walk it off? Get out in the sunshine, man! It hardly effects anybody, remember? What’s wrong with him?",,324,134,0,0,2,2020-10-02,neg,107231
807,How the hell did trump get covid after taking hydroxychloroquine a few months ago?,United States,3295,1486,0,0,1,2020-10-02,neg,107232
808,@realDonaldTrump Start sucking down that hydroxychloroquine you boob,,115,15,0,0,0,2020-10-02,neg,107233
809,@rbc12steps How can hydroxychloroquine be experimental? The President has been talking about it forever!,CDMX | Chicago,1300,1593,1,0,1,2020-10-02,neg,107234
810,"@lindaholmes Yes. As a physician it pains me to think of decisions being made this way, but less powerful people than the president have succeeded in strong arming bad decisions by doctors. Still, if it turns out badly and we learn he got hydroxychloroquine before remdesivir? Whooo boy.",,77,63,1,0,0,2020-10-02,neg,107235
811,"@cathalbrae Shouldn't they just dose him up with hydroxychloroquine, bleach and UV light?","Maumelle, United States",409,102,0,0,1,2020-10-02,neg,107236
812,"@ConorBronsdon Oh and did you see this? Dr. Stella Immanuel wants to make sure President Trumpy Bear gets his infamous hydroxychloroquine, even if she has to prescribe it herself! https://t.co/7SdKMp0lT7",Southern California,2874,50135,1,0,2,2020-10-02,neg,107237
813,Hydroxychloroquine I guess it doesn’t work. Now a antibodies cocktail???,,18,0,0,0,0,2020-10-02,neg,107238
814,"I wonder if we should send some hot sauce? 🧐 I read an article a couple months ago that fermented foods like our hot sauce provide protection...  Works as well as Hydroxychloroquine!  😉 #CovidCaughtTrump  But seriously, best wishes...","Austin, TX",408,372,0,0,1,2020-10-02,neg,107239
815,"All you need to know about the effectiveness of hydroxychloroquine is that Donald Trump, who's been telling you the drug is a miracle for months, has coronavirus and isn't taking it. That's all you need to know. They've been lying to you.",New Hampshire,2458,1088,0,0,4,2020-10-02,neg,107240
816,"@eugenegu But, but, but what are they going to do with the millions of doses of hydroxychloroquine they stockpiled?  They might have to list them on https://t.co/WlZgIZznUr.",New Jersey,64,71,0,0,0,2020-10-02,neg,107241
817,"#Hydroxychloroquine is immune modulator thats why its used in #arthritis patients to lessen #inflammation .. Same principle as #decadron #dexamethasone 

@POTUS @realDonaldTrump #covid19 #SARSCoV2 formulation.

#Hydroxychloroquine 
#zinc
#dexamethasone 
#remdesivir 
#ivermectin",Unknown,206,75,0,1,1,2020-10-02,pos,107242
818,@PressSec @realDonaldTrump Is the demon seed doctor there to give him #Hydroxychloroquine? Asking for my 👽 friends.,"Emeryville, CA",6274,5704,0,0,0,2020-10-02,neg,107243
819,@BBCBreaking Bring on the Hydroxychloroquine..,,154,24,0,0,0,2020-10-02,neg,107244
820,@MSNBC Wonder if they gave him his wonder drug Hydroxychloroquine where you get better in a couple days after taking it??🤨,Earth,4770,4587,1,1,2,2020-10-02,neg,107245
821,A dose of Hydroxychloroquine and President Trump will be fine like Herman Cain.,"Goldvein, Virginia",2737,177,0,0,0,2020-10-02,neg,107246
822,"Hydroxychloroquine,stand back and stand by.
 
You are about to get the biggest endorsement of your life.",,754,544,0,0,0,2020-10-02,neg,107247
823,@PressSec @realDonaldTrump What? No hydroxychloroquine??? @kayleighmcenany,,247,18,0,0,0,2020-10-02,neg,107248
824,Just pump Trump full of Hydroxychloroquine and he'll be fine right?,"Boston/Lowell, Ma",504,729,1,1,0,2020-10-02,neg,107249
825,Wait! But what about all that hydroxychloroquine? #COVID19 #CovidCaughtTrump #CovidTrump #WearADamnMask #Covidhoax2020 #ScienceMatters #BidenHarrisLandslide2020 #Hydroxychloroquine,Los Angeles,375,124,0,1,0,2020-10-02,neg,107250
826,"It's sad that I do not believe @realDonaldTrump is sick.
He said he tested postitive for COVID-19 so like anything else he says I have to assume he is lying.
Besides he's taking hydroxychloroquine so he'll be fine.",,430,50,0,0,0,2020-10-02,pos,107251
827,"@DeadlineWH @MSNBC @NicolleDWallace @carolelee I say his treatments should be...
Hydroxychloroquine, UV light and Bleach.",EST,105,112,0,0,0,2020-10-02,neg,107252
828,2020/10/02 14:00: Maybe too soon to rule out hydroxychloroquine; tricking the immune system https://t.co/GspjbJjK2e,DC,7391,10978,0,0,0,2020-10-02,pos,107253
829,"... but, but he did ""prophylactic hydroxychloroquine therapy!!!""

guess he should've stuck with the 'IV Chlorox' model, huh?
#TrumpLiesAmericansDie",New York City,308,40,0,0,0,2020-10-02,neg,107254
830,"President Trump was moved from the White House to Walter Reed Medical Center this afternoon at 5:30. Hydroxychloroquine Cocktails will be served by the pool at 7, followed by an October Surprise by November 3rd, and then it will just magically go away... https://t.co/HzqE4Co21g","Hartford, CT",4993,2156,2,1,5,2020-10-02,neg,107255
831,@USATODAY But what about the hydroxychloroquine?! It was the miracle drug!!,United States,758,519,0,0,0,2020-10-02,neg,107256
832,"@jimcramer That’s so wrong why should he get it-only Hydroxychloroquine for Trump and Navarro they don’t even deserve that, look at the mess they made.",,111,9,0,0,0,2020-10-02,neg,107257
833,@AndrewFeinberg @PressSec @realDonaldTrump No hydroxychloroquine? I thought it was the wonder drug. The president should insist on taking it against medical advice.,"Illinois, USA",1504,72,0,1,0,2020-10-02,neg,107258
834,"@billmaher what happened to trump’s magical miracle cure, Hydroxychloroquine???",,49,35,0,0,0,2020-10-02,neg,107259
835,@DeAnna4Congress They're all taking hydroxychloroquine LOL,,318,775,0,0,0,2020-10-02,neg,107260
836,"@realDonaldTrump Where's your hydroxychloroquine, Donny? Just take it already and get over your little cold you wuss. #dictator #IdiotInChief #NotMyPresident #DumpTrump2020 #CovidCaughtTrump #TrumpCovid",KC,94,56,0,1,0,2020-10-02,neg,107261
837,"@ItsBouquet Yep. I’m converted too.
Although all information on his health and treatment continues to be issued by his personal physician, the one who publicly supported Trump on the use of hydroxychloroquine as a preventive treatment for Covid. 
Trump has been taken to hospital.","Adelaide, South Australia",870,275,1,0,1,2020-10-02,neg,107262
838,@DEADLINE He already solved this. It’ll go away like a miracle with the help of hydroxychloroquine,,75,25,0,0,3,2020-10-02,neg,107263
839,@PalmerReport Makes no sense that he would take an experimental treatment when he insisted Hydroxychloroquine was a cure.,,166,39,0,1,2,2020-10-02,neg,107264
840,@ASlavitt So what you're saying is the Hydroxychloroquine didn't work?,NYC BABY,274,74,0,0,0,2020-10-02,neg,107265
841,@JenniferJJacobs Wait wait wait so you're telling me hydroxychloroquine doesn't work?,,421,109,0,0,0,2020-10-02,neg,107266
842,Have they tried hydroxychloroquine?,KCMO,1663,764,0,0,4,2020-10-02,neu,107267
843,Plummeting in the polls... gets sick.... cured by Hydroxychloroquine...👀👀👀👀👀,London,252,207,0,0,1,2020-10-02,neg,107268
844,Where’s the hydroxychloroquine?!?,everywhere,1359,583,0,0,0,2020-10-02,neg,107269
845,Trump is accessing state of the art scientific/medical treatments despite constantly denigrating doctors and scientists... and science in general. Seems more fitting to give him leeches and hydroxychloroquine.,,89,64,0,0,0,2020-10-02,neg,107270
846,@realDonaldTrump @FLOTUS I heard #Hydroxychloroquine is an effective treatment,"Los Angeles, CA",130,35,0,0,0,2020-10-02,neg,107271
847,@BoxyM3 Right so hydroxychloroquine is more of a preventative measure but also can be an effective treatment in the very early (incubation stage/pre-cell storm phase) of the virus. My argument all along was that it should be sold over the counter.,"Berkeley, CA",274,48,1,0,0,2020-10-02,pos,107272
848,Have they tried #Hydroxychloroquine? I hear it’s a miracle. Laura ⁦@IngrahamAngle⁩ can’t stop talking about how great it is. Also bleach. I hear bleach is effective.  https://t.co/LXTBj5dQcA,"Los Angeles, CA",254,115,0,0,0,2020-10-02,neg,107273
849,"Oh so Trump isn't taking #Hydroxychloroquine, but a cocktail from Regeneron?

I thought he had heard really good things about ""the Hydroxychloroquine"".

#TrumpHasCovid #WalterReed #maga","Miami, FL",82,96,0,0,1,2020-10-02,neg,107274
850,@EricTrump @realDonaldTrump Recommend the use of Hydroxychloroquine.  And it has to be done in the initial phase.  This is urgent.,"Parnamirim, Brasil",1560,823,0,0,0,2020-10-02,neg,107275
851,Viral Hydroxychloroquine Doctor Offers To Prescribe Trump Controversial Drug If DC Doctors Won’t via @nationalfile https://t.co/8dYeuiizuL,Australia AKA MiniAmerica,1279,621,0,0,0,2020-10-02,neu,107276
852,Where’s the hydroxychloroquine in that med line up hmmmmm?,South Carolina,154,181,0,0,0,2020-10-02,neg,107277
853,"@NoahShachtman My guess is adderall, propecia, and hydroxychloroquine make for a mean arrhythmia cocktail.","Seattle, WA",610,113,0,0,4,2020-10-02,neg,107278
854,So Trump was telling everyone hydroxychloroquine and now he is getting a different kinda treatment so hydroxychloroquine is for everyone to experiment ?,"Cork, Ireland",808,759,0,0,1,2020-10-02,neu,107279
855,"He is missing the crucial meds of hydroxychloroquine, bleach, disinfectants, and a UV light probe.","Port St Lucie, FL",2301,973,0,0,1,2020-10-02,neg,107280
856,@cindyalutz @maggieNYT White House ran out of hydroxychloroquine,"Connecticut, USA",1305,612,0,0,0,2020-10-02,neg,107281
857,@aravosis Notice how Hydroxychloroquine wasn’t among the Drugs they said he was taking https://t.co/oYMGt8C87o,Philly!,2477,1455,0,4,38,2020-10-02,neg,107282
858,"@LindseyGrahamSC @realDonaldTrump @FLOTUS @MELANIATRUMP Yeah me too. Lets try some Bleach, hydroxychloroquine, or maybe its all just a hoax. Maybe the president knows. Is it a hoax? Get well Trump family.",,26,1,0,0,0,2020-10-02,neg,107283
859,When words haunt you: Trump repeated his lie at a press briefing that hydroxychloroquine was being used to cure the virus.,Mississippi,281,1059,0,0,0,2020-10-02,neg,107284
860,"Uncle @realDonaldTrump so wait, the #Hydroxychloroquine didn’t work? Yet u tried to make us all go take it n some people got complications? Bro you lied about the drug, about taking it and about being aware of it’s potential.","ÜT: 34.72458,-82.49562",2043,1490,0,0,0,2020-10-02,neg,107285
861,Viral Hydroxychloroquine Doctor Offers To Prescribe Trump Controversial Drug If DC Doctors Won’t via @nationalfile https://t.co/k11R1HB0En,Reality,1191,491,0,0,0,2020-10-02,neu,107286
862,"It must be nice to have Socialism pay your medical fees. Unless this is a ploy to draw attention away him being a White Supremacist.
 President Trump is going to Walter Reed hospital after COVID-19 diagnosis  https://t.co/h7aLU17jP2 #RacistTrump #Hydroxychloroquine","Austin, TX",7437,7599,0,0,0,2020-10-02,neg,107287
863,@TalbertSwan Hydroxychloroquine stand back and stand by!!,World,4976,242,0,0,1,2020-10-02,neg,107288
864,@IngrahamAngle Impeached president trump wants to take a helicopter to the hospital. Already making this a campaigning hoax. Show us the test results and get our hydroxychloroquine money back,,77,50,0,0,1,2020-10-02,neg,107289
865,@IngrahamAngle President Trump is being treated with a cocktail of puréed WhiteCastle sliders and Diet Coke with a touch of Lysol and a sprinkle of hydroxychloroquine.,Chicago,423,26,0,0,0,2020-10-02,neg,107290
866,To receive state of the medicines in the form of monoclonal antibodies developed by Regeneron and not Bleach and hydroxychloroquine.,"Florida, USA",1172,1073,1,0,3,2020-10-02,neg,107291
867,"@boulware_dr Whatever. Patients have the last say. 
But yes, after Trump mismanaged his early quarantine and his chronic lack if mask wearing, his team physicians have an A score up to now.
(Next, like tonight 😉,  add hydroxychloroquine+azithromycin at @raoult_didier - @zev_dr dosage )","Massachusetts, USA",88,35,0,0,0,2020-10-02,pos,107292
868,@Newsweek Odd that they haven't just given him hydroxychloroquine... 🤔,"Norwalk, CT",297,66,1,0,0,2020-10-02,neg,107293
869,"TMFH is a Public Health Crisis by himself.
Bleach. Hydroxychloroquine. Rallies. 🤮

Spreading disease and lies.",,347,265,0,0,0,2020-10-02,neg,107294
870,@RSBNetwork  President Trump  tested positive for COVID -19  but he wasn't at a rally.  Did President Trump stop taking Hydroxychloroquine?  Science pertains to results.  Walter Reed Hospital:,The States !,1553,1747,0,0,0,2020-10-02,neu,107295
871,Why is Trump taking Regeneron - an unlicensed experimental antibody treatment and not his beloved Hydroxychloroquine??? https://t.co/ebZrZXouI4,Bella Noche,290,2769,0,0,1,2020-10-02,neg,107296
872,"@drkiki @antonioregalado Isn't it a combination of bleach and disinfectant, mixed with hydroxychloroquine?","Toronto, Ontario, CANADA",79,42,0,0,1,2020-10-02,neg,107297
873,America’s favorite doctor is standing by to help with #Hydroxychloroquine,,2777,2325,0,0,0,2020-10-02,neg,107298
874,"@joshnomics Didn’t he say he was taking hydroxychloroquine prophylactically? If so, that ship has sailed .",,105,14,1,0,1,2020-10-02,neg,107299
875,"@DaleFinleyJr @ChineUyanwune hi dale, me again. i actually provided you with many facts. here’s one more that shows how ineffective hydroxychloroquine is when it comes to treating covid-19  https://t.co/X1wt9AsPKH",,11,28,1,0,0,2020-10-02,neg,107300
876,IS DR. STELLA ON THE MAINLINE WITH HER HYDROXYCHLOROQUINE OR DEMON SEMEN OR NAH?!?!!?!!!,Rich Forever Track 5,671,2523,1,3,3,2020-10-02,neg,107301
877,@CNNPolitics Pump as much hydroxychloroquine into him he said it works. It would give him the fountain of youth .HYDROXYCHLOROQUINE FOR TRUMP PRESCRIBED BY ALL THE CHILDREN HE PUT IN CAGES,,104,77,0,0,0,2020-10-02,neg,107302
878,@SiobhanCorc I’m looking forward to him taking hydroxychloroquine &amp; being injected with bleach live on Fox &amp; Friends next week. 👀,Berks,1004,486,1,0,0,2020-10-02,neg,107303
879,#Hydroxychloroquine That's it. That's my tweet.,,4386,2460,0,0,0,2020-10-02,neg,107304
880,@TheTNHoller @MalcolmNance And here we were told it was all a hoax and would go away in no time and would be vanquished by summer heat and could be treated with hydroxychloroquine and was all O'Biden's fault anyway...what's up with that?,"Las Vegas, Nevada, USA, Earth",263,497,0,0,0,2020-10-02,neg,107305
881,"@why_president @____Roar____ @ExMissionary @jerrylmassey @Soxfan311 @dogleaps @Jersey_Gulls @arensb @GreenieYogini @BigotedVsBigots @mandan1459 @NvrRyan I wonder why Trump isn’t taking hydroxychloroquine. Maybe Jerry knows, since he was QUITE adamant it was the magic elixir.",,5108,4988,2,0,2,2020-10-02,neg,107306
882,@nonya_bidniss @nailbomb3 What? No #hydroxychloroquine? No powerful lights? Disinfectant?,Worldwide,1225,3111,1,1,2,2020-10-02,neg,107307
883,@chipfranklin Trump says he took hydroxychloroquine and look at where he is now.,,3448,1481,0,1,2,2020-10-02,neg,107308
884,@crookedmedia I guess the Hydroxychloroquine didn’t work,United States,14,2,0,0,0,2020-10-02,neg,107309
885,"Here’s an article which includes the medication given to Trump - not on the list: anyone? anyone? Yep, hydroxychloroquine.  https://t.co/a3bhiWmAWn","St Petersburg, FL",62,7,0,0,0,2020-10-02,neg,107310
886,@cnnbrk He tested positive but he wasn't at a rally.  Did President Trump stop taking Hydroxychloroquine?  God Bless America,The States !,1553,1747,0,0,0,2020-10-02,neu,107311
887,"@richiefortrump More info, wish they had just stayed home and administered hydroxychloroquine + zinc+ zpak, but...https://t.co/evxXUFkdkK",Arizona,1481,893,1,0,0,2020-10-02,neg,107312
888,Where's the Demon Semen doctor and her hydroxychloroquine and alien DNA?,"Florida, USA",635,264,1,0,3,2020-10-02,neg,107313
889,"Looks like he should have stuck with his Hydroxychloroquine regimen.

Stay away from those ventilators, sir.",,2389,710,0,0,1,2020-10-02,neg,107314
890,@RyanLizza @chrislhayes Take two hydroxychloroquine  and call me in the morning,,15,7,0,0,0,2020-10-02,neg,107315
891,@SAMOYEDCORE You have to swap out the hypodermic needle of hydroxychloroquine with a slightly larger hypodermic needle of hydroxychloroquine,,180,69,1,1,36,2020-10-02,neg,107316
892,"@realDonaldTrump @FLOTUS hydroxychloroquine and injecting light into your body will save you!

btw, do you and your country plan to "" enhanced interrogation "" whoever gave you COVID and try the person for attempted murder or murder?",,50,20,0,0,1,2020-10-02,neg,107317
893,"White House doctor: Trump received experimental antibody cocktail, but not Hydroxychloroquine &amp;/or Azithromycin. https://t.co/a1U1WcZvAp",St. Elsewhere Emergency Dept.,1906,1695,0,0,1,2020-10-02,neu,107318
894,"UPDATE: President Trump going to hospital, taking new antibody cocktail that’s showing promise at UAB;   Sounds like he’s listening to the Fauci/science side, not the HydroxyChloroquine/Atlas crowd. Makes a difference when you actually are sick.   https://t.co/9f0p9TXqca","Lahaina, HI",1348,302,0,0,0,2020-10-02,neu,107319
895,@jimcramer Why aren't they treating him with hydroxychloroquine and Clorox? Isn't that the cure. Pray for his soul. I pray he excepts Jesus as his Lord and Savior. Then he would begin to bear some Christlike behavior. He would begin to be the Uniter-in-Chief instead of the Divider-in-Chef https://t.co/BtwCj0L2Ck,,111,21,0,0,0,2020-10-02,neg,107320
896,@statesman Why not just take some hydroxychloroquine??,"Austin, TX",7437,7599,0,0,3,2020-10-02,neg,107321
897,I thought he could just swim around in hydroxychloroquine and be on the golf course by Saturday?,"Austin, TX",660,1109,0,0,0,2020-10-02,neg,107322
